plot.code,block,fragment,north,east,elevation,forestloss17,forestloss562,roaddensprim,roaddenssec,roaddistprim,roaddistsec,riverdist,pH,humus,soilN,soilP,bulkdens,soilmoist,soilPC1,soilPC2,ntaxa,FDisLOG,nriLOG,FRicLOG,FDisLOGr,FDisLOGe,woody,treesapling,nriLOGWoody,nriLOGSapling,nriLOGnonWoody
c100f177r,c,c100,568935,519972,392,99.18,54.35,5.45,2.59,440.5,92.4,1356,5.8,0,2.88,5.89,0.95,1.05,-0.39,-0.58,13,0.722,-0.198,0.37,-0.337,-3.015,0.31,0.08,0.479,0,0.302
c100f17r,c,c100,568773,519990,348,47.4,55.8,5.5,2.61,307.7,52,1266,6.6,0.7,1.74,5.67,1.08,1.03,-0.15,1.03,12,0.002,0.057,0.428,0.224,-3.013,0.57,0.36,-0.707,-1.536,-0.375
c100f562r,c,c100,569317,519967,448,99.19,73.35,4.38,2.79,586.1,178.2,1430,5.6,0.4,3.87,4.59,1,1.06,-1.33,-1.38,18,-0.99,-0.762,0.402,-1.247,-3.015,0.44,0.17,-0.809,-1.304,-0.826
c100f56r,c,c100,568816,519962,363,81.19,56.17,5.6,2.61,337.2,4.6,1312,5.6,0.5,1.87,6.5,1.34,1.04,1.19,-0.99,12,-0.932,-0.891,0.505,-1.214,-3.014,0.42,0.17,-0.23,-0.587,-0.835
c100f5r,c,c100,568764,519945,364,85.65,58.44,5.67,2.58,278.6,32.7,1258,5.2,0.8,1.48,8.64,1.2,1.02,1.91,-0.71,6,-1.047,0.731,0.466,-1.017,0.326,0.33,0,-0.508,na,0.966
c100m177r,c,c100,568586,519949,323,54.04,60.54,5.86,2.37,120.5,204.7,1083,6.5,0,3.83,10.62,1.32,1.05,-0.07,-1.55,15,0.36,0.596,0.504,0.773,-2.923,0.8,0.47,-0.309,-0.699,1.638
c100m17r,c,c100,568737,519975,342,12,56.77,5.64,2.57,269,69,1230,6.5,1.2,2.12,7.07,1.1,1.03,-0.47,0.35,13,1.381,0.207,0.413,1.397,-2.979,0.92,0.54,-0.915,-1.155,0
c100m562r,c,c100,568228,520277,250,78.64,53.78,5.22,3.04,27.3,103.7,717,5.8,0.6,1.72,7.25,1.15,1.03,0.97,-0.05,8,1.644,0.29,0.464,0.097,0.064,0.5,0.13,-0.208,0,-0.044
c100m56r,c,c100,568697,519998,342,51.93,56.77,5.65,2.63,243.4,114.8,1192,6,0.6,2.73,2.9,1.19,1.03,-0.15,0.06,10,0.781,0.305,0.491,1.104,-2.528,0.8,0.5,-0.19,-0.998,-0.313
c10f177r,c,c10,568488,520809,372,78.47,30.22,3.09,3.51,584.8,5.5,964,5.7,1.3,2.93,7.14,1.31,1.03,0.58,-1.28,12,-0.05,-0.301,0.515,-1.329,-3.014,0.33,0,-0.004,na,0.073
c10f56r,c,c10,568379,520802,356,86.33,31.9,3.09,3.44,556.4,13.1,855,6.8,0,2.06,3.57,1.31,1.03,0.72,1.08,14,1.268,-0.344,0.776,-0.143,-3.014,0.07,0,0,na,1.137
c10m177r,c,c10,568149,520801,325,39.19,31.48,3.32,3.44,558.9,130,625,6,0,3.99,4.03,1.18,1.04,-0.35,-0.96,10,0.194,0.157,0.381,-0.095,-2.939,0.7,0.3,-1.069,-0.266,2.193
