species.code,family,genus,species,species.name,tree,woody,origin,pgf,height,sla,wood.dens,dispersal,fruit,seed,reproduction,lifehistory,pollination
dioeup,Ebenaceae,Diospyros,euphlebia,Diospyros euphlebia,yes,yes,n,F,13,109,0.66,J,S,3,s,p,e
diofox,Ebenaceae,Diospyros,foxworthyi,Diospyros foxworthyi,yes,yes,n,F,20,106.17,0.54,J,S,3,s,p,e
diofox1,Ebenaceae,Diospyros,cf. foxworthyi,Diospyros cf. foxworthyi,yes,yes,n,F,20,106.17,0.54,J,S,3,s,p,e
diofru1,Ebenaceae,Diospyros,cf. frutescens,Diospyros cf. frutescens,yes,yes,n,F,18,133.02,0.66,J,S,3,s,p,e
diomac,Ebenaceae,Diospyros,macrophylla,Diospyros macrophylla,yes,yes,n,F,45,133.02,0.48,J,S,3,s,p,e
diooli,Ebenaceae,Diospyros,oligantha,Diospyros oligantha,yes,yes,n,F,30,133.02,0.66,J,S,3,s,p,e
diopyr1,Ebenaceae,Diospyros,cf. pyrrhocarpa,Diospyros cf. pyrrhocarpa,yes,yes,n,F,23,133.02,0.64,J,S,3,s,p,e
diosub,Ebenaceae,Diospyros,subrhomboidea,Diospyros subrhomboidea,yes,yes,n,F,20,183.9,0.82,J,S,3,s,p,e
diotub,Ebenaceae,Diospyros,tuberculata,Diospyros tuberculata,yes,yes,n,F,15,133.02,0.45,J,S,3,s,p,e
diounk,Dioscoreaceae,Unknown,sp.,Unknown sp.,no,no,n,D,na,223.2,na,na,na,na,s,na,na
dip058,Dipterocarpaceae,Dipterocarpus,sp. TFD058,Dipterocarpus sp. TFD058,yes,yes,n,F,na,172.08,0.66,Q,Z,1,s,p,i
dip103,Malvaceae,Diplodiscus,sp. TFD103,Diplodiscus sp. TFD103,yes,yes,n,F,na,252.44,na,na,U,2,s,p,h
dipcor,Woodsiaceae,Diplazium,cordifolium,Diplazium cordifolium,no,no,n,A,0.5,172.31,na,Q,na,na,v,na,m
dipdiv,Melastomataceae,Diplectria,divaricata,Diplectria divaricata,no,yes,n,G,na,183.84,na,J,S,4,s,p,d
dippar,Malvaceae,Diplodiscus,parviflorus,Diplodiscus parviflorus,yes,yes,n,F,18,252.44,na,na,U,2,s,p,h
disann1,Melastomataceae,Dissochaeta,cf. annulata,Dissochaeta cf. annulata,no,yes,n,G,na,183.84,na,J,S,na,s,p,na
disbec,Melastomataceae,Dissochaeta,beccariana,Dissochaeta beccariana,no,yes,n,G,na,183.84,na,J,S,na,s,p,na
doncan,Marantaceae,Donax,canniformis,Donax canniformis,no,no,n,C,4,332.82,na,na,U,2,s,p,na
draang,Asparagaceae,Dracaena,angustifolia,Dracaena angustifolia,no,yes,n,H,8,223.2,0.35,J,S,2,s,p,na
dry149,Putranjivaceae,Drypetes,sp. TFD149,Drypetes sp. TFD149,yes,yes,n,F,na,89.92,0.68,J,W,1,s,p,h
drylan,Dipterocarpaceae,Dryobalanops,lanceolata,Dryobalanops lanceolata,yes,yes,n,F,80,145.7,0.62,Q,Z,1,s,p,d
dysall,Meliaceae,Dysoxylum,alliaceum,Dysoxylum alliaceum,yes,yes,n,F,38,167.39,0.57,N,U,2,s,p,k
ela064,Elaeocarpaceae,Elaeocarpus,sp. TFD064,Elaeocarpus sp. TFD064,yes,yes,n,F,na,163.15,0.49,J,W,3,s,p,d
ela190,Urticaceae,Elatostema,sp. TFD190,Elatostema sp. TFD190,no,no,n,C,na,206.18,na,na,R,na,s,na,p
elabru,Elaeocarpaceae,Elaeocarpus,brunnescens,Elaeocarpus brunnescens,yes,yes,n,F,20,163.15,0.49,M,W,3,s,p,d
elasti1,Elaeocarpaceae,Elaeocarpus,cf. stipularis,Elaeocarpus cf. stipularis,yes,yes,n,F,38,163.15,0.45,J,W,3,s,p,d
ellbecp,Connaraceae,Ellipanthus,beccarii var. peltatus,Ellipanthus beccarii var. peltatus,yes,yes,n,F,10,134.16,na,N,X,1,s,p,h
ellcun,Annonaceae,Ellipeia,cuneifolia,Ellipeia cuneifolia,no,yes,n,G,na,168.03,na,N,T,na,s,p,h
embeff,Primulaceae,Embelia,effusa,Embelia effusa,no,yes,n,G,na,285.05,na,J,W,1,s,p,h
embphi,Primulaceae,Embelia,philippinensis,Embelia philippinensis,no,yes,n,G,na,156.12,na,J,W,1,s,p,h
end086,Lauraceae,Endiandra,sp. TFD086,Endiandra sp. TFD086,yes,yes,n,F,na,130.94,0.6,J,W,1,s,p,h
enigra,Annonaceae,Enicosanthum,grandifolium,Enicosanthum grandifolium,yes,yes,n,F,20,126.23,0.49,N,T,1,s,p,e
ery046,Convolvulaceae,Erycibe,sp. TFD046,Erycibe sp. TFD046,no,yes,n,H,na,169.62,na,J,S,1,s,p,i
erybor,Convolvulaceae,Erycibe,borneensis,Erycibe borneensis,yes,yes,n,F,8,169.62,na,J,S,1,s,p,i
eryborb,Convolvulaceae,Erycibe,borneensis var. borneensis,Erycibe borneensis var. borneensis,yes,yes,n,F,8,169.62,na,J,S,1,s,p,i
eryborc,Convolvulaceae,Erycibe,borneensis var. collina,Erycibe borneensis var. collina,yes,yes,n,F,8,169.62,na,J,S,1,s,p,i
eryprab1,Convolvulaceae,Erycibe,cf. praecipua ssp. borneensis,Erycibe cf. praecipua ssp. borneensis,no,yes,n,H,na,169.62,na,J,S,1,s,p,i
etl201,Zingiberaceae,Etlingera,sp. TFD201,Etlingera sp. TFD201,no,no,n,C,na,332.82,na,na,U,na,sv,na,f
eur131,Pentaphyllacaceae,Eurya,sp. TFD131,Eurya sp. TFD131,yes,yes,n,F,na,175.22,na,J,T,4,s,p,d
eurlon,Simaroubaceae,Eurycoma,longifolia,Eurycoma longifolia,yes,yes,n,F,8,233.83,0.51,na,Z,1,s,p,na
fag072,Gentianaceae,Fagraea,sp. TFD072,Fagraea sp. TFD072,yes,yes,n,F,na,113.4,0.7,J,S,4,s,p,c
ferunk,FERN,Unknown,sp.,Unknown sp.,no,no,i,A,na,172.31,na,Q,na,na,v,na,m
fic119,Moraceae,Ficus,sp. TFD119,Ficus sp. TFD119,yes,yes,n,F,na,207.15,0.4,J,R,4,s,p,o
